,Unnamed: 0,pathway_name,pathway_description,ko_id
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K00901
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K11155
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K11160
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K14456
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K12298
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K16816
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K13534
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K14073
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K14074
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K14075
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K14076
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K22283
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K14452
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K22284
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K01059
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K09881
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K01054
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K25824
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K14458
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K14457
17,17,hsa00561,Glycerolipid metabolism - Homo sapiens (human),K01189
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K00006
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K00111
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K00629
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K13506
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K13509
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K13523
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K19007
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K13513
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K13517
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K00649
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K01517
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K01080
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K15728
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K18693
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K00901
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K00994
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K13644
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K01115
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K16860
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K00650
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K01047
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K16342
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K16343
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K14621
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K16817
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K13510
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K13512
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K13515
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K06128
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K06129
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K06130
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K14676
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K18695
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K00623
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K01049
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K14156
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K06124
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K00968
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K00993
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K00894
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K00967
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K14286
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K00551
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K00981
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K13618
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K08729
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K08730
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K01613
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K00995
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K08744
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K13511
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K13514
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K00999
18,18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K13516
